Answer,Clue 1,Clue 2,Clue 3,Clue 4,Clue 5,Category
Michael Jordan,Food poisoning flu game,"Wore #12 once, scored 49",UNC shorts under uniform,"Cut from HS team, 6 rings",Space Jam star,Athlete
LeBron James,SpongeBob before every game,Missed 80 days of 4th grade,Photographic memory,High school games on ESPN,The King from Akron,Athlete
Dwayne Johnson,Almost played Willy Wonka,Grandpa was Bond villain,Arrested 8x before 17,$7 to highest paid actor,The Rock,Professional wrestler
Serena Williams,Voiced Avatar guard Ming,Dog named after Nadal,Won Slam while pregnant,Part owner of Dolphins,23 Grand Slam queen,Athlete
Kevin Hart,Ex shoe salesman,Terrified of butterflies,Crashed Eagles SB stage,Stage name: Lil Kev,"5'4"" comedy giant",Comedian
Mike Tyson,Raises pigeons,Plays Peekaboo,Video Game Nightmare,Youngest champ,Iron,Athlete
Tiger Woods,Stanford nickname: Urkel,Talked to dog for stutter,Had -11 eyesight pre-LASIK,Won Masters at 21,Red shirt Sundays,Athlete
Kim Kardashian,Bought Liz Taylor jewels,Won Razzie for acting,Celeb closet organizer,Dad defended OJ Simpson,SKIMS billionaire,TV Personality
Deion Sanders,Had a hot tub in his locker,Rap album on Hammer label,NCAA rule bears his name,TD and HR same week,Coach Prime,Athlete
Shaq,Paid for 15 MBA classmates,"Reserve cop, lost badge",Platinum rap album,One career 3-pointer,Hack-a-____,Athlete
Spike Lee,Created Mars Blackmon,NYU classmate of Ang Lee,Reggie Miller's nemesis,$10M on Knicks tickets,Do the Right Thing,Film director
Larry Bird,Famous bird logo shares his name,Worked as garbageman,Left-handed 47pt game,Shot free throws eyes closed,French Lick legend,Athlete
Stephen Curry,Rates arena popcorn 0-5,Duke rejected him twice,Born in same hospital as Bron,Nike misspelled his name,Night Night celebration,Athlete
Will Ferrell,Holds the record for his high school football field goals,Speaks Swedish and loves Eurovision,KVWN channel 4,Delta Tau Delta,Buddy,Comedian
Halle Berry,Miss USA 1986 runnerup,Named after a dept store,Lived in homeless shelter,Accepted Razzie in person,First Black Best Actress,Actor
Chris Tucker,Almost became a preacher,Rejected Friday sequel,Testified for Michael J.,Highest paid actor in 2007,Rush Hour's Carter,Comedian
Allen Iverson,"Only 6 feet tall, MVP",VA Player of Year x2 sports,Invented the arm sleeve,Answer tattooed pre-NBA,"76ers legend, The Answer",Athlete
Eddie Murphy,10 kids with 5 different women,Prince wrote a song for him,Turned down Ghostbusters,Foster care at age 8,Beverly Hills Cop,Comedian
Hulk Hogan,Was a session musician first,Bald under the bandana,Turned down the Foreman Grill,Thunderlips in Rocky III,"Hulkamania, brother",Wrestler
Derrick Rose,Wore fake braces in high school,Grandma named him Pooh,Wears 25 for Ben Wilson,Chicago's hometown hero,Youngest MVP ever,Athlete
Russell Westbrook,Layup line at 6:17 exact,KB3 wristband tribute,"Shoots right, writes left",Last Sonics draft pick,Triple-double king,Athlete
James Harden,Owns a trampoline park,Khloe Kardashian's ex,Can't shave per contract,374 turnovers in a season,Fear the Beard,Athlete
Kawhi Leonard,Free Wingstop for life,Millionaire in a '97 Tahoe,Hands 52% wider than avg,I'm a fun guy,The Claw,Athlete
Samuel L Jackson,Stuttered until adulthood,Cosby Show stand-in,Wanted to be marine bio,Asked for purple saber,"Motherf***er, Pulp Fiction",Actor
Kobe Bryant,Fluent in Italian,Sued a Japanese City,32 Total Numbers,Oscar Winner,Is a snake,Athlete
Tom Brady,Drafted by Expos as catcher,Didn't drink coffee until 40,Infamous combine photo,Retired twice,"199th pick, 7 rings",Athlete
Jordan Peele,Was a debt collector,Puppetry major in college,Turned down SNL for MADtv,Obama anger translator,Get Out Oscar winner,Film director